Barcode,Physical Location,Title,Enumeration,Content Type,Filename,Date published,Notes
<dc:identifier>?,<dc:description>,<dc:title>,,<dc:type>,<dc:identifier>,<dc:date.issued>,
123456 (if we have),Cushing,Texas Aggie,v.1:no.1,Text,123456.pdf (DISC to fill in),"YYYY-MM-DD, 1921-05-15",remove before exporting for metadata use
,Cushing,Texas Aggie,v.13:no.24,Text,,1947-04-18,3 copies
,Cushing,Texas Aggie,v.13:no.25,Text,,1947-05-09,3 copies
,Cushing,Texas Aggie,v.13:no.26,Text,,1947-05-22,3 copies
,Cushing,Texas Aggie,v.13:no.27,Text,,1947-06-24,3 copies
,Cushing,Texas Aggie,v.13:no.28,Text,,1947-07-15,2 copies
,Cushing,Texas Aggie,v.13:no.29,Text,,1947-08-04,2 copies
,Cushing,Texas Aggie,v.13:no.30,Text,,1947-09-01,2 copies
,Cushing,Texas Aggie,v.13:no.31,Text,,1947-09-15,3 copies
,Cushing,Texas Aggie,v.13:no.32,Text,,1947-10-04,2 copies
,Cushing,Texas Aggie,v.13:no.33,Text,,1947-10-20,2 copies
,Cushing,Texas Aggie,v.13:no.34,Text,,1947-11-03,2 copies
,Cushing,Texas Aggie,v.13:no.35,Text,,1947-11-17,2 copies
,Cushing,Texas Aggie,v.13:no.36,Text,,1947-12-05,2 copies
,Cushing,Texas Aggie,v.13:no.37,Text,,1948-01-03,3 copies
,Cushing,Texas Aggie,v.13:no.38,Text,,1948-01-20,2 copies
,Cushing,Texas Aggie,v.13:no.39,Text,,1948-02-10,
,Cushing,Texas Aggie,v.13:no.40,Text,,1948-02-28,2 copies
,Cushing,Texas Aggie,v.13:no.41,Text,,1948-03-20,
,Cushing,Texas Aggie,v.13:no.42,Text,,1948-04-05,
,Cushing,Texas Aggie,v.13:no.43,Text,,1948-04-22,2 copies
,Cushing,Texas Aggie,v.13:no.44,Text,,1948-05-10,
,Cushing,Texas Aggie,v.13:no.45,Text,,1948-05-20,
,Cushing,Texas Aggie,v.13:no.46,Text,,1948-06-05,2 copies
,Cushing,Texas Aggie,v.13:no.47,Text,,1948-07-05,2 copies
,Cushing,Texas Aggie,v.13:no.48,Text,,1948-08-05,
,Cushing,Texas Aggie,v.13:no.49,Text,,1948-09-01,
,Cushing,Texas Aggie,v.13:no.50,Text,,1948-09-21,
,Cushing,Texas Aggie,v.13:no.51,Text,,1948-10-07,
,Cushing,Texas Aggie,v.13:no.52,Text,,1948-10-20,
,Cushing,Texas Aggie,v.13:no.53,Text,,1948-11-09,
,Cushing,Texas Aggie,v.13:no.54,Text,,1948-11-20,
,Cushing,Texas Aggie,v.13:no.55,Text,,1948-12-15,
,Cushing,Texas Aggie,v.13:no.56,Text,,1949-01-20,
,Cushing,Texas Aggie,v.13:no.57,Text,,1949-02-03,
,Cushing,Texas Aggie,v.14:no.1,Text,,1949-02-21,2 copies
,Cushing,Texas Aggie,v.14:no.2,Text,,1949-03-07,
,Cushing,Texas Aggie,v.14:no.3,Text,,1949-03-25,
,Cushing,Texas Aggie,v.14:no.4,Text,,1949-04-07,
,Cushing,Texas Aggie,v.14:no.5,Text,,1949-04-25,
,Cushing,Texas Aggie,v.14:no.6,Text,,1949-05-10,
,Cushing,Texas Aggie,v.14:no.7,Text,,1949-05-25,2 copies
,Cushing,Texas Aggie,v.14:no.8,Text,,1949-06-20,4 copies
,Cushing,Texas Aggie,v.14:no.9,Text,,1949-07-22,3 copies
,Cushing,Texas Aggie,v.14:no.10,Text,,1949-08-25,2 copies
,Cushing,Texas Aggie,v.14:no.11,Text,,1949-09-10,2 copies
,Cushing,Texas Aggie,v.14:no.12,Text,,1949-09-23,2 copies
,Cushing,Texas Aggie,v.14:no.13,Text,,1949-10-10,2 copies
,Cushing,Texas Aggie,v.14:no14,Text,,1949-10-25,2 copies
,Cushing,Texas Aggie,v.14:no.15,Text,,1949-11-10,2 copies
,Cushing,Texas Aggie,v.14:no.15,Text,,1949-11-23,"2 copies. printed no.15, one marked as no. 16 in pencil."
,Cushing,Texas Aggie,v.14:no.16,Text,,1949-12-13,"3 copies. printed no.16, one marked as no.17 in pencil?"
